frase,emoji
"Hola, ¿cómo estás?",😊
Es un gran día,☀️
Me encanta programar,💻
¡Vamos al cine!,🎬
Tengo hambre,🍔
Feliz cumpleaños,🎂
Amo los animales,🐾
Hora de dormir,😴
Estoy cansado,😓
¡Qué sorpresa!,🎉
Vamos de viaje,✈️
Te quiero,❤️
Hace frío,❄️
Es Navidad,🎄
Vamos a la playa,🏖️
Estoy trabajando,🖥️
Tengo una idea,💡
Llueve mucho,🌧️
Es otoño,🍂
Vamos a estudiar,📚
Me duele la cabeza,🤕
Estoy enfermo,🤒
¡Qué emoción!,😁
Me gusta bailar,💃
Estoy corriendo,🏃
Estoy en el gimnasio,🏋️
Es mi mascota,🐕
Me encanta la música,🎶
Estoy leyendo,📖
Vamos al parque,🌳
Me gusta el café,☕
Es hora del té,🍵
Vamos a cocinar,🍳
Amo el sushi,🍣
Es mi comida favorita,🍕
Vamos a pescar,🎣
Quiero aprender más,🧠
Es un misterio,🕵️
Vamos al espacio,🚀
Estoy jugando videojuegos,🎮
Es hora de cantar,🎤
Voy a pintar,🎨
Es mi equipo favorito,⚽
Vamos a acampar,🏕️
Estoy de vacaciones,🌴
Es un arcoíris,🌈
Hace calor,🔥
Es hora del desayuno,🥞
Vamos a comer helado,🍦
Es increíble,🤩
Estoy confundido,😕
Vamos a nadar,🏊
Me gusta patinar,⛸️
Voy en bicicleta,🚴
Estoy estudiando matemáticas,➕
Es ciencia,🔬
Es tecnología,📱
Es hora de viajar,🗺️
Me gusta escribir,✍️
Vamos al zoológico,🦁
Es un concierto,🎵
Estoy explorando,🧭
Es una broma,😂
Estoy en la oficina,🏢
Es Navidad,🎅
Estoy escuchando,👂
Es mi lugar favorito,🏞️
Vamos al supermercado,🛒
Es un sueño,🌙
Es aterrador,👻
Vamos al museo,🏛️
Es un robot,🤖
Estoy pensando,🤔
Es amor,💕
Estoy sorprendido,😮
Es una señal,🚦
Estoy agradecido,🙏
Es tiempo de aventura,🧗
Voy a la montaña,🏔️
Es el océano,🌊
Estoy estudiando historia,📜
Es ciencia ficción,👽
Es un pastel,🍰
Es un regalo,🎁
Estoy hablando,🗣️
Es tecnología antigua,💾
Es un hospital,🏥
Es una fiesta,🥳
Es un auto,🚗
Es el futuro,🌌
Es el amanecer,🌅
Es comida rápida,🍟
Es Halloween,🎃
Es un juguete,🧸
Vamos al estadio,🏟️
Es un paisaje,🖼️
Estoy de picnic,🧺
